strain	virus	gisaid_epi_isl	genbank_accession	date	region	country	division	location	region_exposure	country_exposure	division_exposure	segment	length	host	age	sex	Nextstrain_clade	pango_lineage	GISAID_clade	originating_lab	submitting_lab	authors	url	title	paper_url	date_submitted	purpose_of_sequencing	sampling_strategy	missing_data	divergence	nonACGTN	rare_mutations	snp_clusters	QC_missing_data	QC_mixed_sites	QC_rare_mutations	QC_snp_clusters	clock_deviation	batch1	batch2	batch3	batch4	batch5	batch6	batch7	batch8	batch9	batch10	root_ref
UnitedArabEmirates/L2004034680/2020	betacoronavirus	EPI_ISL_520671	?	2020-04-18	Asia	United Arab Emirates			Asia	United Arab Emirates		genome	29903	Human	27	Male	?	B.1	G	Mohammed Bin Rashid University of Medicine and Health Sciences	Al Jalila Genomics Center	Ahmad Abou Tayoun, Tom Loney, Hamda Khansaheb, Sathishkumar Ramaswamy, Divinlal Harilal, Zulfa Omar Deesi, Rupa Murthy Varghese, Hanan Al Suwaidi, Abdulmajeed Alkhaja, Mohammed Uddin, Rifat Hamoudi, Rabih Halwani, Abiola Catherine Senok, Qutayba Hamid, Norbert Nowotny, Alawi Alsheikh-Ali	https://www.gisaid.org/	?	?	2020-08-25	?												no	no	no	no	no	yes	no	no	no	no	no
Qatar/QA-QU_07-1-E11/2020	betacoronavirus	EPI_ISL_1712942	?	2020-06-14	Asia	Qatar	Doha		Asia	Qatar	Doha	genome	29869	Human	44	Male	?	B.1.1.161	O	Ministry of Public Health / Hamad Medical Corporation	Biomedical Research Center (BRC), Qatar University / Qatar Genome Project (QGP)	BRC: Fatiha M. Benslimane, Heba A. Al-Khatib, Oal Al-Jamal, Dana Al-Batesh, Hadi M. Yassine, Asmaa A. Al-Thani.  MOPH and HMC: Abdullatif Al-Khal, Muna A. S. Al-Maslamani, Mashael A. Al-Bader, Hamda Alromaihi, Roberto Bertollini, Peter V. Coyle, Einas A. E. Al-Kuwari, Hamad E. Al-Romaihi, Salih Al-Marri, Mohammed Al-Thani, Reham A. El-Kahlout.  QBB: Tasneem Al-Hamad, Dina Elgakhlab   QGP: Fatima H. Al-Kuwari, Chadi Saad	https://www.gisaid.org/	?	?	2021-04-25	?												no	no	no	no	no	no	no	yes	no	no	no
Oman/205036136/2020	betacoronavirus	EPI_ISL_491974	?	2020-05-15	Asia	Oman	Muscat		Asia	Oman	Muscat	genome	29835	Human	54	Female	?	B.1.1	GR	Oman-NIC	Department of Microbiology and Immunology-SQUH	Fahad Zadjali, Samira Al-Maruqi, Amina Al Jardani, Khulood Al-Mammary, Hanan Al-kindi, Fatma BaAlawi, Hamida AL Barwani, Zeyana AL-Dahmani, Intisar Al-Shukri, Aisha Al-Busaidi, Aisha Al-Amri, Ahlam Al-Amri, Mohammed Al-Tobi, Samiha Al Kharusi, Abdulla Balkhair	https://www.gisaid.org/	?	?	2020-07-18	?												no	no	no	no	no	no	no	no	yes	no	no
SouthAfrica/KRISP-0393/2020	betacoronavirus	EPI_ISL_487336	?	2020-07-01	Africa	South Africa	KwaZulu-Natal		Africa	South Africa	KwaZulu-Natal	genome	29857	Human	32	Male	?	C.6	GR	Molecular Diagnostics Services (MDS)	KRISP, KZN Research Innovation and Sequencing Platform	Giandhari J, Pillay S, Lessells R, Chimukangara B, Mdlalose K, York D, Khan S, Tegally H, Wilkinson E, de Oliveira T	https://www.gisaid.org/	?	?	2020-07-14	?												yes	no	no	no	no	no	no	no	no	no	no
Japan/PG-1639/2020	betacoronavirus	EPI_ISL_685245	?	2020-04-03	Asia	Japan	Hokkaido		Asia	Japan	Hokkaido	genome	29696	Human	unknown	unknown	?	A.2	S	Pathogen Genomics Center, National Institute of Infectious Diseases	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka, Kentaro Itokawa, Rina Tanaka, Masanori Hashino, Makoto Kuroda	https://www.gisaid.org/	?	?	2020-12-10	?												no	no	no	no	yes	no	no	no	no	no	no
SouthAfrica/NHLS-UCT-GS-2420/2020	betacoronavirus	EPI_ISL_960165	?	2020-06-06	Africa	South Africa	Western Cape	Klipfontein	Africa	South Africa	Western Cape	genome	29865	Human	79	Female	?	B.1.1.34	GR	Hanover Park CHC wc HPH	National Health Laboratory Service/UCT	Arash Iranzadeh, Deelan Doolabh, Lynn Tyers, Bruna Galvao, Innocent Mudau, Marvin Hsiao, Kruger Marais, Diana Hardie, Stephen Korsman, Carolyn Williamson	https://www.gisaid.org/	?	?	2021-02-09	?												no	yes	no	no	no	no	no	no	no	no	no
HongKong/CUHK-NC9214/2020	betacoronavirus	EPI_ISL_3066367	?	2020-07-15	Asia	Hong Kong			Asia	Hong Kong		genome	29901	Human	35	Male	?	B.6	G	Department of Microbiology	Department of Microbiology	Zigui Chen, Paul K.S. Chan	https://www.gisaid.org/	?	?	2021-07-24	?												no	no	no	no	no	no	yes	no	no	yes	no
Qatar/QA-WCMQ_FD18215049/2020	betacoronavirus	EPI_ISL_1714648	?	2020-03-31	Asia	Qatar	Doha		Asia	Qatar	Doha	genome	29718	Human	43	Male	?	B.1	GH	Ministry of Public Health / Hamad Medical Corporation	Weill Cornell Medical College - Qatar (WCM-Q), Genomics Core Laboratory / Qatar Genome Project (QGP)	WCMQ: Ayeda A. Ahmed, Meryem Bensaad, Shameem Younuskunju, Yasmin Mohamoud, Laith Abu-Raddad, Joel A Malek.  QGP: Fatima H. Al-Kuwari, Chadi Saad  MOPH and HMC: Abdullatif Al-Khal, Muna A. S. Al-Maslamani, Mashael A. Al-Bader, Hamda Alromaihi, Roberto Bertollini, Peter V. Coyle, Einas A. E. Al-Kuwari, Hamad E. Al-Romaihi, Salih Al-Marri, Mohammed Al-Thani, Reham A. El-Kahlout.  QBB: Tasneem Al-Hamad, Dina Elgakhlab	https://www.gisaid.org/	?	?	2021-04-25	?												no	no	no	no	yes	no	no	no	no	no	no
Mozambique/KRISP-MZ154276/2020	betacoronavirus	EPI_ISL_636979	?	2020-07-07	Africa	Mozambique	Cabo Delgado	Pemba	Africa	Mozambique	Cabo Delgado	genome	29639	Human	58	Male	?	B.1.140	G	HP Pemba	KRISP, KZN Research Innovation and Sequencing Platform	Ismael N, Giandhari J, Pillay S, Tegally H, Wilkinson E, de Oliveira T, Nadia Sitoe, Paulo Arnaldo, Nedio Mabunda	https://www.gisaid.org/	?	?	2020-11-15	?												yes	no	no	no	no	no	no	no	no	no	no
Kenya/C32958/2020	betacoronavirus	EPI_ISL_7922644	?	2020-07-15	Africa	Kenya	Tana River		Africa	Kenya	Tana River	genome	29494	Human	75	Male	?	B.1.391	G	KEMRI-Wellcome Trust Research Programme,Kilifi	KEMRI-Wellcome Trust Research Programme,Kilifi	Githinji G.,Ochola I.,Agoti C.,Mohamed K.S.,de Laurent Z.,Mburu M.W., Morobe J.,Ndwiga L. Makori T.,Ongera E.,Lambisia A.Nokes D J.	https://www.gisaid.org/	?	?	2021-12-21	?												yes	no	no	no	no	no	no	no	no	no	no
SouthAfrica/KRISP-0409/2020	betacoronavirus	EPI_ISL_495534	?	2020-06-23	Africa	South Africa	KwaZulu-Natal	Amajuba	Africa	South Africa	KwaZulu-Natal	genome	29866	Human	68	Female	?	C.1	GR	NHLS-IALCH	KRISP, KZN Research Innovation and Sequencing Platform	Giandhari J, Pillay S, Lessells R, Chimukangara B, Mdlalose K, York D, Khan S, Tegally H, Wilkinson E, de Oliveira T	https://www.gisaid.org/	?	?	2020-07-23	?												no	yes	no	no	no	no	no	no	no	no	no
Qatar/QA-QU_07-1-F6/2020	betacoronavirus	EPI_ISL_1712950	?	2020-06-04	Asia	Qatar	Doha		Asia	Qatar	Doha	genome	29868	Human	51	Male	?	B.1.1.10	O	Ministry of Public Health / Hamad Medical Corporation	Biomedical Research Center (BRC), Qatar University / Qatar Genome Project (QGP)	BRC: Fatiha M. Benslimane, Heba A. Al-Khatib, Oal Al-Jamal, Dana Al-Batesh, Hadi M. Yassine, Asmaa A. Al-Thani.  MOPH and HMC: Abdullatif Al-Khal, Muna A. S. Al-Maslamani, Mashael A. Al-Bader, Hamda Alromaihi, Roberto Bertollini, Peter V. Coyle, Einas A. E. Al-Kuwari, Hamad E. Al-Romaihi, Salih Al-Marri, Mohammed Al-Thani, Reham A. El-Kahlout.  QBB: Tasneem Al-Hamad, Dina Elgakhlab   QGP: Fatima H. Al-Kuwari, Chadi Saad	https://www.gisaid.org/	?	?	2021-04-25	?												no	no	no	no	no	no	no	yes	no	no	no
Iran/GRC-9842/2020	betacoronavirus	EPI_ISL_2692908	?	2020-07-13	Asia	Iran	Tehran		Asia	Iran	Tehran	genome	29868	Human	29	Male	?	B.1.36	GH	Department of Pathology, School of Medicine, Imam Hospital Complex, Tehran University of Medical Sciences, Tehran, Iran	Genetics Research Center, University of Social Welfare and Rehabilitation Sciences	Zohreh Fattahi, Marzieh Mohseni, Khadijeh Jalalvand, Azam Ghaziasadi, Seyedeh elham Mortazavi, Ali Jafarpour, Azar Hadadi, Alireza Abdollahi, Saber Soltani, Reza Najafipour, Kimia Kahrizi, Seyed Mohammad Jazayeri, Hossein Najmabadi.	https://www.gisaid.org/	?	?	2021-06-26	?												no	no	no	no	no	no	yes	no	no	no	no
Ghana/WACCBIP-GS183/2020	betacoronavirus	EPI_ISL_1255116	?	2020-07-20	Africa	Ghana	Western Region	Takoradi	Africa	Ghana	Western Region	genome	29773	Human	38	Male	?	B.1.1.485	GR	West African Centre for Cell Biology of Infectious Pathogens (WACCBIP), University of Ghana, Accra, Ghana	West African Centre for Cell Biology of Infectious Pathogens (WACCBIP), University of Ghana, Volta Road, Legon-Accra, Ghana	Collins M. Morang'a, Joyce M. Ngoi, Evelyn B. Quansah, Samirah Saiid, Dominic S.Y. Amuzu, Vincent Appiah, Philip M. Soglo, Vanessa Magnussen, Aisha Mohammed, Kesego Tapela, Nelson Kibinge, Abdoulaye B Diallo, Frederick Kumi-Ansah, Theophilus Odoom, Oliver D Boakye5, Emmanuella Amoako4, Abdul-Karim Abass, , Samuel Kaba Akoriyea, Frederick Tei-Maya, Lucas N. Amenga-Etego, Dam Kenneth Mibut, Yaw Bediako, Benjamin Demah Nuertey, Gordon A Awandare, Peter K Quashie, Gordon A Awandare, Yaw Bediako	https://www.gisaid.org/	?	?	2021-03-16	?												yes	no	no	no	no	no	no	no	no	no	no
India/TG-CCMB-X116/2020	betacoronavirus	EPI_ISL_528850	?	2020-07-15	Asia	India	Telangana	Karimnagar	Asia	India	Telangana	genome	29818	Human	25	Male	?	B.1.1.8	GR	CSIR-Centre for Cellular and Molecular Biology	CSIR-Centre for Cellular and Molecular Biology	Lamuk Zaveri, Shagufta Khan, Namami Gaur, Sakshi Shambhavi, Nikhil Hajirnis, M Soujanya Reddy, Pratheusa Maccha, Tulasi Nagabandi, Purushotham Vodnala, Payel Mukherjee, Sofia Banu, Priya Singh, Onkar Kulkarni, Dhiviya Vedagiri, Divya Gupta, Vishal Sah, Santosh Kumar Kuncha, Krishnan Harinivas Harshan, Archana Bharadwaj Siva, Karthik Bharadwaj Tallapaka, Renu Sudhakar, Somesh Gorde, Gangumala Srinivas Reddy, Sujoy Deb, Swati Bayyana, Rakesh K Mishra, Divya Tej Sowpati	https://www.gisaid.org/	?	?	2020-09-09	?												no	no	no	no	no	no	yes	no	no	yes	no
India/OR-ILSCV17741/2020	betacoronavirus	EPI_ISL_463058	?	2020-05-13	Asia	India	Odisha		Asia	India	Odisha	genome	29775	Human	40	Female	?	A	S	Institute of Life Sciences, Bhubaneswar	Immunogenomics lab, Institute of Life Sciences, Bhubaneswar	Sunil Raghav, Arup Ghosh, Atimukta Jha, Viplov K. Biswas, Swati Madhulika, Manasi Priyadarshini, Shuchi Smita, Sifu Agarwal, Sanchari Chatterjee, Avula Kiran, Parej Nath, Supriya Suman, Rina Yadav, Rupesh Dash, Soma Chattopadhyay, Ghulam Hussain Syed, Shanti Senapati, Tushar K. Beuria, Rajeeb Swain, Punit Prasad, ILS COVID-19 TEAM, Orissa COVID-19 Study Group, DBT's PAN-INDIA 1000 SARS-CoV2 RNA genome sequencing consortium, Ajay Parida	https://www.gisaid.org/	?	?	2020-06-09	?												no	no	no	no	no	no	no	no	yes	no	no
Thailand/63039985__2019/2020	betacoronavirus	EPI_ISL_12717927	?	2020-07-04	Asia	Thailand	Nonthaburi		Asia	Thailand	Nonthaburi	genome	29782	Human	67	Female	?	B.1	GH	Bamrasnaradura Infectious Disease Institute	Molecular HIV and EID, BIDI, DDC,Thai MOPH	Sumonmal Uttayamakul, Paninee Mongkolsuk, Thidathip Wongsurawat, Piroon Jenjaroenpun, Pongpun Sawatwong, Beth Skaggs, Navin Horthongkham, Weerawat Manosuthi	https://www.gisaid.org/	?	?	2022-05-15	?												no	no	no	no	no	no	yes	no	no	no	no
Malaysia/3706/2020	betacoronavirus	EPI_ISL_501209	?	2020-03-31	Asia	Malaysia	Kuala Lumpur		Asia	Malaysia	Kuala Lumpur	genome	29849	Human	27	Female	?	B.6.1	O	Department of Medical Microbiology, University Malaya Medical Centre	Department of Medical Microbiology, Faculty of Medicine, University of Malaya	Yoong Min CHONG, Jennifer Chong, I-Ching SAM, Yoke Fun CHAN, University Malaya Medical Centre COVID Team	https://www.gisaid.org/	?	?	2020-07-31	?												no	no	no	no	yes	no	no	no	no	no	no
Gabon/1539-26A/2020	betacoronavirus	EPI_ISL_8886165	?	2020-05-08	Africa	Gabon	Haut-Ogooue		Africa	Gabon	Haut-Ogooue	genome	29460	Human	29	Female	?	B.1.1.409	GR	Centre Interdisciplinaire de Recherches Médicales de Franceville (CIRMF)	Institut Hospitalo-Universitaire - Méditerranée Infection	Sonia Etenna Lekana-Douki, Nadine N’dilimabaka, Anthony Levasseur, Philippe Colson, Julia Cyrielle Andeko, Ornella Zong Minko, Octavie Banga Mve-Ella, Pierre-Edouard Fournier, Christian Devaux, Bertrand Mve Ondo, Falone Larissa Akombi, Laurianne Yacka Mouele Bolo,  Audrey Michel Ngonga Dikongo, Abdoulaye Diané, Arsène Mabika Mabika, Jenny Francine Matouhet, Cresh Dzembo, Nick Chenis Atiga, Anicet Mouity Matoumba, Nal Kennedy Ndjangangoye, Ludvine Brevard, Marielle Bedotto, Joa Braithe Mangombi Pambou, Marisca Kandet Yattara, Elvire Anita Mbongo Nkama, Armel Mintsa Ndong, Ayola Akim Adegnika, Didier Raoult, Florence Fenollar, and Jean-Bernard Lekana-Douki	https://www.gisaid.org/	?	?	2022-01-20	?												no	yes	no	no	no	no	no	no	no	no	no
India/DL-ILBS-4871T/2020	betacoronavirus	EPI_ISL_605810	?	2020-04-06	Asia	India	Delhi	New Delhi	Asia	India	Delhi	genome	29872	Human	40	Female	?	B.1.36	GH	Clinical Virology Laboratory, Institute of Liver and Biliary Sciences	ILBS - IGIB	Ekta Gupta, Sheetalnath Rooge, Abhishek Padhi, Reshu Agarwal, Jaswinder Singh Maras, Shridhar Sivasubbu, Vinod Scaria, Shvetank Sharma	https://www.gisaid.org/	?	?	2020-11-02	?												no	no	no	no	yes	no	no	no	no	no	no
Thailand/CU-SI2012946-NT/2020	betacoronavirus	EPI_ISL_937537	?	2020-04-14	Asia	Thailand			Asia	Thailand		genome	29867	Human	40	Female	?	B.1	GH	Thai Red Cross Emerging Infectious Diseases Health Science Centre, Chulalongkorn Hospital, Faculty of Medicine, Chulalongkorn University	Thai Red Cross Emerging Infectious Diseases Center and Faculty of Medicine, Chulalongkorn University	Opass Putcharoen, Watsamon Jantarabenjakul, Pattama Torvorapanit, Gompol Suwanpimolkul, Leilani Paitoonpong, Sopon Iamsirithaworn, Sininat Petcharat, Yutthana Joyjinda, Weenassarin Ampoot, Apaporn Rodpan, Thiravat Hemachudha, Supaporn Wacharapluesadee	https://www.gisaid.org/	?	?	2021-02-05	?												no	no	no	no	yes	no	no	no	no	no	no
India/GJ-GBRC-377b/2020	betacoronavirus	EPI_ISL_524736	?	2020-07-11	Asia	India	Gujarat	Khambhaliya	Asia	India	Gujarat	genome	29762	Human	49	Male	?	B.1.184	G	Government General Hospital, Jam Khambhaliya, Devbhoomi Dwarka	Gujarat Biotechnology Research Centre	Janvi Raval, Zarna Patel, Monika Gandhi, Pinal Trivedi, Maharshi Pandya, Nidhi Patel, Nitin Savaliya, Raghawendra Kumar, Dinesh Kumar, Zuber Saiyed, Komal Patel, Labdhi Pandya, Afzal Ansari, Nikha Trivedi, Harish Matani, Apurvasinh Puvar, R D Dixit, A M Kadri, Harsh Bakshi, Chaitanya Joshi, Madhvi Joshi	https://www.gisaid.org/	?	?	2020-08-28	?												no	no	no	no	no	no	yes	no	no	no	no
Morocco/refstage1/2020	betacoronavirus	EPI_ISL_476559	?	2020-02-27	Africa	Morocco			Africa	Morocco		genome	29821	Human	unknown	unknown	?	B.1	G	unknown	Laboratoire Sciences et Technologies de la Santé (STS) Institut Supérieur des Sciences de la Santé Université Hassan 1er, Settat, Morocco	Hajar Lemriss, Sanaâ Lemriss, Amal Souiri, Narjis Amar, Mustapha Mouallif, Touria Essayagh, Jawad Bouzid, Saâd EL Kabbaj, Abderraouf Hilali	https://www.gisaid.org/	?	?	2020-06-25	?												no	yes	no	no	no	no	no	no	no	no	no
Japan/PG-5655/2020	betacoronavirus	EPI_ISL_688779	?	2020-04-08	Asia	Japan	Shiga		Asia	Japan	Shiga	genome	29546	Human	unknown	unknown	?	B.1.1.82	GR	Pathogen Genomics Center, National Institute of Infectious Diseases	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka, Kentaro Itokawa, Rina Tanaka, Masanori Hashino, Makoto Kuroda	https://www.gisaid.org/	?	?	2020-12-10	?												no	no	no	no	yes	no	no	no	no	no	no
UnitedArabEmirates/BTC-4078/2020	betacoronavirus	EPI_ISL_5143046	?	2020-04-21	Asia	United Arab Emirates	Abu Dhabi		Asia	United Arab Emirates	Abu Dhabi	genome	29903	Human	39	Male	?	B.1.195	G	BTC, Khalifa University	BTC, Khalifa University	Habiba Al Safar et al	https://www.gisaid.org/	?	?	2021-10-14	?												no	no	no	no	no	yes	no	no	no	no	no
env/Liaoning/Dalian-IVDC-Pollock-03-06/2020	betacoronavirus	EPI_ISL_2170894	?	2020-06-03	Asia	China	Liaoning	Dalian	Asia	China	Liaoning	genome	29897	Environment	unknown	unknown	?	B.1.1.317	GR	National Institute for Viral Disease Control and Prevention, China CDC	National Institute for Viral Disease Control and Prevention, China CDC	Huilai Ma1&, Jianqun Zhang2&, Ji Wang3&, Ying Qin1&, Cao Chen3&, Yang Song3&, Liang Wang1,4&, Jun Meng2, Lingling Mao5, Fengqin Li6,  Ning Li6, Jian Cai1,7, Yong Zhang3, Dayan Wang3, Yunting Xia8, Hong Wang3, Shaofeng Jiang9, Xiang Zhao3, Peihua Niu3, Wenjie Tan3, Tao Ma1,10, Yecheng Yao11, Naiying Mao3, Zhen Zhu3, Tianjiao Ji3, Qian Yang3, Baoying Huang3, Li Zhao3, Jianxing Yu1, Li Bai6, Shuangli Zhu3, Dongyan Wang3, Yan Zhang3, , Yingwei Sun5, Mingchun Luan2, Yanhai Wang3, Haibo Sun5, Shihong Yang2, Zhijian Bo2, Xiang Ren1, Zhongjie Li1, George Fu Gao1, Wei Yao2*, Wenqing Yao5*, Zijian Feng1*, Wenbo Xu3*	https://www.gisaid.org/	?	?	2021-05-20	?												no	no	no	no	no	no	no	yes	no	no	no
Morocco/AZ183/2020	betacoronavirus	EPI_ISL_476026	?	2020-05-11	Africa	Morocco			Africa	Morocco		genome	29863	Human	unknown	Female	?	B.1.1	GR	Laboratoire de Recherche et d'Analyses Médicales  de la Gendarmerie Royale	Laboratoire de Recherche et d'Analyses Médicales  de la Gendarmerie Royale	Sanaâ Lemriss, Amal SOUIRI, Saâd EL KABBAJ	https://www.gisaid.org/	?	?	2020-06-25	?												no	yes	no	no	no	no	no	no	no	no	no
India/GJ-GBRC66/2020	betacoronavirus	EPI_ISL_447042	?	2020-05-03	Asia	India	Gujarat	Ahmedabad	Asia	India	Gujarat	genome	29808	Human	24	Male	?	B.1.465	GH	B.J. Medical College and Civil hospital	Gujarat Biotechnology Research Centre	Nitin Savaliya, Raghawendra Kumar, Dinesh Kumar, Zuber Saiyed, Dipa Kinariwala, Disha Patel, Binita Aring, Neeta Khandelwal, Geeta Vaghela, Sonia Barve, Bhavesh Modi, Kairavi Joshi, Gaurishankar Shrimali, Nidhi Sood, Pranay Shah, R D Dixit, Snehal Bagatharia, Kamlesh J Upadhyay, Ramesh Pandit, Tejas Shah, Ankit Hinsu, Pritesh Sabara, Apurvasinh Puvar, Janvi Raval, Monika Gandhi, Pinal Trivedi, Maharshi Pandya, Amit Kanani, Akanksha Verma, Pooja P Doshi, Chaitanya Joshi, Madhvi Joshi	https://www.gisaid.org/	?	?	2020-05-16	?												no	no	no	no	no	no	no	no	yes	no	no
